mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1716351614.556335,(-399+172j),(263-396j),(-29-15j),(63-288j),(337-300j),(228-444j),(61-535j),(-260-488j),(-451-279j),(-524-26j),(-494+194j),(-380+381j),(-209+521j),(-15+582j),(187+564j),(357+472j),(543+355j),(658+171j),(722-42j),(703-276j),(606-501j),(438-702j),(212-843j),(-55-879j),(-302-826j),(-559-692j),(-730-513j),(-841-252j),(-879+43j),(-758+318j),(-482+529j),(-72+484j),(17+313j),(-507-117j),(-694+245j),(-601+575j),(-370+800j),(-101+872j),(173+863j),(439+767j),(608+609j),(760+399j),(829+160j),(817-79j),(714-304j),(583-486j),(386-616j),(178-691j),(-50-682j),(-247-597j),(-440-500j),(-589-305j),(-654-72j),(-628+179j),(-495+427j),(-257+606j),(82+667j),(433+537j),(666+185j),(663-79j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351614.658659,(-399+172j),(263-396j),(-29-15j),(63-288j),(253-511j),(8-545j),(-216-488j),(-440-314j),(-545-81j),(-524+154j),(-431+347j),(-283+478j),(-118+544j),(60+575j),(225+554j),(377+482j),(526+385j),(636+245j),(731+84j),(764-105j),(736-316j),(649-520j),(519-687j),(339-810j),(143-903j),(-86-897j),(-303-862j),(-509-740j),(-677-549j),(-769-315j),(-722-14j),(-413+238j),(17+313j),(-161-474j),(-538-497j),(-761-307j),(-845-50j),(-850+173j),(-773+384j),(-642+547j),(-489+682j),(-288+739j),(-116+773j),(61+747j),(223+678j),(362+592j),(469+459j),(534+314j),(573+160j),(573+19j),(544-136j),(481-281j),(374-416j),(226-511j),(31-573j),(-188-543j),(-413-417j),(-566-169j),(-568+164j),(-461+395j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351614.761953,(-399+172j),(263-396j),(-29-15j),(63-288j),(196+426j),(320+344j),(420+230j),(469-33j),(385-264j),(222-402j),(47-462j),(-124-454j),(-281-396j),(-410-291j),(-493-159j),(-525+12j),(-540+185j),(-489+355j),(-388+521j),(-236+641j),(-45+719j),(169+756j),(391+718j),(600+583j),(761+386j),(857+148j),(866-92j),(796-336j),(652-570j),(380-723j),(43-716j),(-236-430j),(17+313j),(481-195j),(427-614j),(157-823j),(-138-884j),(-418-801j),(-633-644j),(-792-413j),(-864-186j),(-859+56j),(-791+307j),(-653+502j),(-439+630j),(-230+703j),(-14+701j),(161+655j),(338+545j),(465+375j),(559+226j),(587+35j),(558-169j),(451-347j),(272-499j),(27-572j),(-248-528j),(-486-331j),(-594+1j),(-553+202j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351614.863284,(-399+172j),(263-396j),(-29-15j),(63-288j),(339+72j),(388-78j),(368-247j),(175-409j),(-50-458j),(-258-378j),(-408-238j),(-480-58j),(-480+137j),(-410+313j),(-291+444j),(-136+549j),(77+588j),(277+561j),(467+493j),(631+339j),(735+121j),(775-134j),(712-385j),(567-610j),(374-751j),(120-841j),(-124-841j),(-375-741j),(-603-550j),(-713-285j),(-673+32j),(-356+265j),(17+313j),(-245-400j),(-622-312j),(-778-30j),(-774+287j),(-652+512j),(-471+705j),(-223+807j),(25+833j),(279+760j),(497+638j),(637+439j),(707+215j),(717-14j),(638-219j),(520-393j),(340-508j),(151-567j),(-43-568j),(-237-516j),(-406-398j),(-520-204j),(-556+16j),(-484+275j),(-292+479j),(12+563j),(339+442j),(467+259j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351614.966885,(-399+172j),(263-396j),(-29-15j),(63-288j),(-167-253j),(-267-213j),(-353-139j),(-379+46j),(-334+208j),(-224+323j),(-101+385j),(26+401j),(144+376j),(244+331j),(330+272j),(401+191j),(452+92j),(482-16j),(508-126j),(495-248j),(446-364j),(362-463j),(264-550j),(145-601j),(23-637j),(-108-624j),(-240-605j),(-363-530j),(-455-412j),(-524-277j),(-515-84j),(-322+116j),(17+313j),(-24-368j),(-282-468j),(-466-400j),(-579-261j),(-644-130j),(-663+23j),(-631+152j),(-591+283j),(-492+379j),(-402+469j),(-292+516j),(-169+550j),(-55+561j),(60+527j),(162+478j),(254+409j),(334+334j),(394+243j),(436+135j),(456+10j),(440-131j),(386-274j),(263-392j),(86-476j),(-142-465j),(-354-329j),(-423-197j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351615.069154,(-399+172j),(263-396j),(-29-15j),(63-288j),(-100-508j),(-207-439j),(-294-358j),(-429-194j),(-457-2j),(-433+150j),(-372+277j),(-301+363j),(-208+456j),(-96+506j),(3+530j),(119+518j),(222+541j),(344+515j),(460+472j),(561+397j),(668+301j),(748+194j),(820+71j),(824-78j),(811-230j),(788-371j),(703-507j),(592-623j),(468-728j),(273-771j),(32-722j),(-201-455j),(17+313j),(531-52j),(650-402j),(567-660j),(425-815j),(236-893j),(49-925j),(-100-911j),(-266-860j),(-385-783j),(-500-689j),(-578-583j),(-633-437j),(-671-312j),(-684-185j),(-672-76j),(-655+51j),(-588+171j),(-559+279j),(-474+392j),(-376+487j),(-221+572j),(-50+616j),(145+603j),(360+520j),(559+336j),(650+36j),(651-145j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351615.171514,(-399+172j),(263-396j),(-29-15j),(63-288j),(233-424j),(80-463j),(-69-461j),(-303-359j),(-440-189j),(-472+24j),(-437+221j),(-342+381j),(-176+487j),(-6+541j),(160+535j),(321+489j),(492+390j),(621+244j),(709+71j),(743-138j),(701-364j),(601-599j),(428-771j),(189-883j),(-38-915j),(-305-888j),(-533-766j),(-718-584j),(-868-318j),(-866-36j),(-712+275j),(-298+413j),(17+313j),(-399-379j),(-785-180j),(-881+164j),(-812+500j),(-642+717j),(-400+877j),(-121+953j),(124+927j),(379+827j),(577+677j),(700+485j),(749+257j),(756+46j),(693-158j),(600-331j),(448-460j),(287-537j),(117-588j),(-70-585j),(-257-524j),(-427-402j),(-538-221j),(-589+25j),(-520+288j),(-309+517j),(33+602j),(248+557j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351615.274409,(-399+172j),(263-396j),(-29-15j),(63-288j),(89+487j),(243+400j),(356+281j),(463+53j),(430-165j),(322-337j),(166-449j),(-4-503j),(-198-491j),(-362-414j),(-487-297j),(-558-144j),(-635+27j),(-633+224j),(-578+409j),(-474+579j),(-304+733j),(-87+837j),(148+882j),(391+811j),(605+689j),(774+507j),(877+277j),(914+19j),(888-251j),(714-485j),(412-635j),(10-517j),(17+313j),(546+84j),(724-301j),(619-636j),(394-855j),(120-932j),(-159-918j),(-399-832j),(-594-669j),(-723-475j),(-797-265j),(-802-61j),(-802-61j),(-623+303j),(-498+434j),(-356+517j),(-193+565j),(-27+550j),(128+548j),(282+473j),(411+351j),(506+206j),(537+6j),(496-210j),(363-415j),(111-550j),(-207-526j),(-393-428j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351615.375616,(-399+172j),(263-396j),(-29-15j),(63-288j),(-549-159j),(-528+67j),(-439+258j),(-243+459j),(6+515j),(228+467j),(393+348j),(485+209j),(550+41j),(557-139j),(503-303j),(392-458j),(277-593j),(107-671j),(-93-724j),(-290-698j),(-491-620j),(-657-512j),(-796-342j),(-873-118j),(-887+126j),(-841+336j),(-727+546j),(-552+699j),(-337+810j),(-47+835j),(236+693j),(367+331j),(17+313j),(-410+325j),(-266+712j),(31+862j),(306+855j),(558+739j),(558+739j),(839+347j),(877+118j),(844-87j),(775-289j),(652-459j),(477-577j),(296-644j),(120-660j),(-31-643j),(-188-582j),(-327-478j),(-437-382j),(-521-236j),(-567-65j),(-554+136j),(-467+323j),(-304+488j),(-56+586j),(230+549j),(489+334j),(600+126j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
d83add07f794,1716351615.479143,(-399+172j),(263-396j),(-29-15j),(63-288j),(-98+480j),(58+482j),(209+439j),(415+260j),(483+31j),(448-191j),(339-368j),(186-475j),(-3-541j),(-191-523j),(-362-448j),(-478-311j),(-609-163j),(-661+30j),(-661+224j),(-597+427j),(-458+612j),(-274+766j),(-47+844j),(202+829j),(418+747j),(607+598j),(746+420j),(819+187j),(832-78j),(709-319j),(465-498j),(87-455j),(17+313j),(476+159j),(699-162j),(652-478j),(475-723j),(240-837j),(-23-876j),(-257-825j),(-468-710j),(-638-543j),(-752-339j),(-787-121j),(-737+94j),(-658+279j),(-535+434j),(-373+550j),(-186+604j),(2+593j),(185+574j),(350+470j),(487+325j),(563+122j),(568-106j),(469-334j),(263-522j),(-45-591j),(-367-464j),(-512-306j),(10277+0j),(-12544-32640j),(128+0j),(118+17j)
