mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1717557504.718221,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(604+268j),(696+68j),(724-151j),(552-484j),(287-658j),(-5-706j),(-249-669j),(-443-550j),(-606-393j),(-699-216j),(-736-26j),(-722+149j),(-688+348j),(-598+507j),(-518+645j),(-370+750j),(-218+835j),(-19+892j),(168+898j),(344+855j),(489+792j),(661+684j),(760+549j),(850+368j),(902+140j),(858-81j),(685-312j),(303-403j),(581+369j),(315+421j),(685+349j),(856+120j),(902-128j),(857-321j),(778-500j),(651-659j),(504-748j),(323-821j),(142-874j),(-37-854j),(-196-788j),(-343-712j),(-467-599j),(-575-459j),(-634-291j),(-650-135j),(-656+38j),(-615+202j),(-525+359j),(-375+496j),(-203+583j),(27+614j),(273+551j),(493+355j),(591+57j),(540-117j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557504.820408,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(30-664j),(-237-651j),(-476-537j),(-697-163j),(-669+235j),(-457+510j),(-195+661j),(80+685j),(320+621j),(530+464j),(666+259j),(717+14j),(713-224j),(620-448j),(467-647j),(252-776j),(23-833j),(-217-857j),(-458-774j),(-679-611j),(-827-376j),(-915-149j),(-918+124j),(-827+385j),(-674+621j),(-358+774j),(-8+751j),(256+433j),(581+369j),(-478+218j),(-408+656j),(-118+847j),(188+897j),(469+785j),(690+610j),(830+393j),(898+127j),(887-119j),(813-376j),(644-568j),(403-711j),(169-773j),(-73-756j),(-273-687j),(-459-538j),(-590-316j),(-654-119j),(-643+111j),(-555+332j),(-354+524j),(-114+615j),(174+600j),(444+430j),(598+141j),(551-231j),(402-385j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557504.922330,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-302-704j),(-529-503j),(-653-260j),(-699+124j),(-530+404j),(-304+601j),(-59+663j),(188+643j),(411+559j),(559+407j),(666+227j),(684+50j),(711-160j),(671-354j),(587-514j),(456-656j),(285-783j),(69-846j),(-137-886j),(-333-821j),(-502-750j),(-678-608j),(-790-436j),(-876-219j),(-881+25j),(-789+255j),(-570+464j),(-172+473j),(581+369j),(-448-278j),(-737-42j),(-806+260j),(-713+521j),(-574+702j),(-378+816j),(-169+889j),(35+879j),(261+840j),(435+737j),(578+603j),(675+430j),(735+246j),(753+48j),(700-152j),(619-330j),(472-444j),(333-571j),(138-634j),(-68-638j),(-268-558j),(-449-422j),(-571-212j),(-610+59j),(-505+354j),(-230+562j),(19+633j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557505.025420,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-226-734j),(-457-567j),(-604-353j),(-698+27j),(-572+350j),(-350+565j),(-101+652j),(142+646j),(369+583j),(540+435j),(659+252j),(689+41j),(719-179j),(661-385j),(555-560j),(399-705j),(214-806j),(-1-885j),(-235-883j),(-452-805j),(-638-668j),(-796-494j),(-893-286j),(-936-33j),(-905+245j),(-722+479j),(-426+637j),(-25+524j),(581+369j),(-539-121j),(-746+239j),(-678+571j),(-487+806j),(-246+912j),(5+947j),(256+913j),(469+808j),(659+654j),(794+456j),(860+231j),(837-12j),(781-220j),(669-405j),(519-554j),(324-657j),(103-673j),(-100-680j),(-301-605j),(-479-464j),(-598-242j),(-638-7j),(-577+256j),(-394+497j),(-98+630j),(259+572j),(472+460j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557505.127761,(8135+6162j),(-3020+4090j),(-3020+4090j),(-7167-6j),(-467-554j),(-627-314j),(-688-53j),(-617+304j),(-393+527j),(-139+639j),(107+650j),(329+568j),(521+453j),(646+285j),(704+92j),(700-100j),(693-307j),(605-495j),(491-647j),(329-770j),(141-857j),(-85-909j),(-304-899j),(-515-809j),(-678-674j),(-833-519j),(-927-303j),(-970-63j),(-947+205j),(-793+431j),(-512+608j),(-90+539j),(581+369j),(-537-213j),(-808+101j),(-817+431j),(-681+705j),(-480+859j),(-242+963j),(-13+992j),(221+945j),(444+860j),(616+719j),(745+544j),(807+318j),(840+115j),(806-100j),(730-288j),(601-459j),(419-564j),(246-659j),(35-691j),(-175-658j),(-378-541j),(-536-370j),(-630-128j),(-624+151j),(-481+436j),(-169+614j),(92+641j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557505.229843,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-345-540j),(-508-386j),(-610-184j),(-613+185j),(-436+469j),(-166+607j),(94+633j),(328+548j),(504+419j),(633+223j),(677+10j),(650-218j),(595-426j),(453-597j),(263-733j),(45-802j),(-187-806j),(-416-762j),(-621-645j),(-780-452j),(-898-215j),(-919+20j),(-889+281j),(-761+513j),(-579+706j),(-278+820j),(63+745j),(292+411j),(581+369j),(-464+246j),(-378+664j),(-98+854j),(188+889j),(457+792j),(676+622j),(803+418j),(881+177j),(875-54j),(819-284j),(694-478j),(491-627j),(289-714j),(66-733j),(-127-700j),(-322-601j),(-472-436j),(-571-283j),(-626-79j),(-602+142j),(-492+358j),(-308+521j),(-57+598j),(234+549j),(472+355j),(581+31j),(552-166j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557505.332649,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-283-446j),(-436-298j),(-524-119j),(-524-119j),(-370+361j),(-179+469j),(6+513j),(177+478j),(332+402j),(439+293j),(509+159j),(529+33j),(537-131j),(498-260j),(450-380j),(358-490j),(248-569j),(89-640j),(-55-657j),(-197-637j),(-314-589j),(-452-511j),(-546-416j),(-627-265j),(-670-89j),(-632+87j),(-494+267j),(-201+323j),(581+369j),(-284-283j),(-563-174j),(-658+36j),(-661+251j),(-579+399j),(-474+540j),(-329+640j),(-185+690j),(-3+707j),(152+686j),(298+612j),(416+499j),(511+379j),(565+234j),(591+69j),(555-84j),(491-208j),(406-336j),(289-433j),(140-495j),(-24-497j),(-200-451j),(-355-340j),(-465-148j),(-476+91j),(-346+325j),(-182+433j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557505.434883,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-638-146j),(-670+152j),(-575+434j),(-223+688j),(150+673j),(461+511j),(629+261j),(681-20j),(626-304j),(483-515j),(271-665j),(43-709j),(-219-712j),(-455-614j),(-647-484j),(-788-265j),(-860-14j),(-828+283j),(-733+536j),(-545+721j),(-335+871j),(-48+940j),(206+918j),(496+804j),(718+563j),(825+270j),(764-88j),(391-343j),(581+369j),(342+430j),(740+265j),(898-82j),(823-433j),(666-696j),(408-874j),(101-958j),(-172-941j),(-464-809j),(-679-618j),(-817-368j),(-854-99j),(-821+173j),(-692+415j),(-466+593j),(-227+691j),(12+677j),(251+621j),(453+465j),(574+246j),(611-11j),(545-264j),(357-461j),(78-573j),(-255-510j),(-485-246j),(-503-6j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557505.537354,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(596+158j),(640-81j),(596-319j),(309-603j),(-30-675j),(-345-574j),(-549-378j),(-648-126j),(-647+130j),(-563+359j),(-419+524j),(-234+655j),(-7+706j),(215+692j),(432+649j),(614+504j),(753+319j),(811+84j),(833-158j),(761-381j),(672-601j),(468-759j),(256-883j),(-12-907j),(-290-825j),(-541-669j),(-680-341j),(-498+55j),(581+369j),(-4-535j),(-423-676j),(-761-500j),(-916-196j),(-972+102j),(-900+402j),(-724+652j),(-507+825j),(-221+902j),(46+911j),(301+834j),(516+680j),(672+483j),(756+238j),(736-8j),(671-236j),(529-424j),(352-561j),(130-630j),(-107-612j),(-327-523j),(-501-340j),(-586-77j),(-549+213j),(-340+450j),(-21+550j),(167+491j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557505.639671,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(678-208j),(520-436j),(311-579j),(-48-661j),(-351-546j),(-557-341j),(-628-97j),(-617+124j),(-539+319j),(-420+478j),(-266+589j),(-76+657j),(107+673j),(300+638j),(493+583j),(649+450j),(773+290j),(807+93j),(853-112j),(797-315j),(725-544j),(562-689j),(388-831j),(152-900j),(-95-862j),(-357-767j),(-551-509j),(-480-113j),(581+369j),(203-481j),(-95-757j),(-427-763j),(-635-606j),(-832-412j),(-911-174j),(-905+52j),(-871+288j),(-736+472j),(-577+631j),(-389+736j),(-173+797j),(39+786j),(237+723j),(379+590j),(521+441j),(590+254j),(634+76j),(605-119j),(526-310j),(381-481j),(171-586j),(-82-589j),(-336-491j),(-523-250j),(-565+76j),(-517+302j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
