mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1716351482.866637,(-399+172j),(263-396j),(-29-15j),(63-288j),(448+4j),(398-191j),(279-344j),(64-454j),(-163-424j),(-332-316j),(-432-165j),(-471-25j),(-473+136j),(-417+288j),(-339+408j),(-197+507j),(-62+568j),(95+603j),(278+603j),(453+539j),(613+436j),(723+277j),(818+87j),(821-129j),(787-356j),(658-532j),(525-689j),(310-797j),(80-818j),(-183-758j),(-405-556j),(-406-193j),(17+313j),(278-379j),(66-673j),(-207-735j),(-423-652j),(-604-519j),(-717-336j),(-747-138j),(-751+37j),(-677+203j),(-587+351j),(-448+460j),(-297+520j),(-147+544j),(-14+521j),(95+457j),(186+386j),(243+296j),(286+224j),(312+138j),(327+57j),(321-32j),(296-131j),(233-219j),(142-299j),(6-336j),(-156-304j),(-269-218j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351482.942021,(-399+172j),(263-396j),(-29-15j),(63-288j),(-210+393j),(196+404j),(420+96j),(258-336j),(-151-445j),(-407-128j),(-356+295j),(25+497j),(325+320j),(518-48j),(372-375j),(-63-519j),(-488-378j),(-620+50j),(-403+530j),(67+722j),(565+456j),(779-115j),(546-632j),(-88-787j),(-693-527j),(-900+113j),(-520+665j),(80+909j),(614+543j),(770-143j),(368-593j),(-204-372j),(17+313j),(113-449j),(-486-400j),(-769+126j),(-458+616j),(201+757j),(697+463j),(820-105j),(364-615j),(-56-726j),(-467-392j),(-627+100j),(-416+428j),(29+507j),(387+354j),(439+59j),(263-271j),(43-406j),(-175-271j),(-317-19j),(-307+189j),(-96+346j),(201+242j),(336+56j),(217-209j),(-81-330j),(-320-151j),(-334+143j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351482.942967,(-399+172j),(263-396j),(-29-15j),(63-288j),(-366-130j),(-413-10j),(-417+117j),(-314+320j),(-150+416j),(33+444j),(200+415j),(333+333j),(438+223j),(504+98j),(521-37j),(511-164j),(492-323j),(422-459j),(335-577j),(199-673j),(35-742j),(-157-770j),(-351-750j),(-527-657j),(-665-536j),(-777-367j),(-837-191j),(-844+17j),(-795+233j),(-647+411j),(-405+533j),(-65+445j),(17+313j),(-426-178j),(-644+52j),(-662+299j),(-568+503j),(-439+620j),(-280+690j),(-114+715j),(36+703j),(186+656j),(304+579j),(393+476j),(430+344j),(468+229j),(459+117j),(440+20j),(398-65j),(336-127j),(297-185j),(242-227j),(175-267j),(110-292j),(37-311j),(-61-306j),(-170-280j),(-279-190j),(-341-41j),(-310+45j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351482.963146,(-399+172j),(263-396j),(-29-15j),(63-288j),(342+150j),(378-199j),(93-421j),(-376-274j),(-460+153j),(-84+430j),(348+360j),(527-37j),(264-414j),(-128-527j),(-128-527j),(-515+227j),(-249+567j),(259+557j),(656+210j),(628-322j),(162-738j),(-450-699j),(-790-169j),(-667+538j),(-138+882j),(519+707j),(895+53j),(654-544j),(-32-818j),(-620-512j),(-641+135j),(-90+428j),(17+313j),(-343+267j),(128+672j),(603+385j),(692-291j),(321-727j),(-243-665j),(-594-234j),(-699+307j),(-200+603j),(353+589j),(605+248j),(470-267j),(155-540j),(-204-428j),(-426-86j),(-403+214j),(-111+336j),(205+314j),(352+125j),(255-142j),(49-277j),(-174-287j),(-305-3j),(-217+290j),(93+339j),(340+62j),(266-195j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351482.963319,(-399+172j),(263-396j),(-29-15j),(63-288j),(-462+123j),(-356+293j),(-203+405j),(46+458j),(270+387j),(415+227j),(490+48j),(479-128j),(417-287j),(313-419j),(174-507j),(11-562j),(-170-571j),(-343-528j),(-523-449j),(-661-303j),(-754-126j),(-797+101j),(-764+324j),(-667+538j),(-512+720j),(-297+838j),(-75+885j),(182+855j),(419+727j),(603+513j),(657+207j),(436-104j),(17+313j),(29+459j),(376+561j),(618+409j),(742+197j),(775-17j),(737-221j),(631-407j),(502-535j),(323-604j),(140-646j),(-32-621j),(-177-549j),(-293-463j),(-364-349j),(-392-223j),(-401-101j),(-388+3j),(-345+83j),(-304+164j),(-245+224j),(-161+280j),(-68+320j),(47+321j),(173+284j),(284+181j),(348+19j),(346-115j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351482.964101,(-399+172j),(263-396j),(-29-15j),(63-288j),(307+385j),(420+216j),(462+20j),(410-229j),(240-401j),(40-462j),(-147-456j),(-305-391j),(-443-260j),(-517-110j),(-545+51j),(-506+210j),(-466+372j),(-364+520j),(-222+648j),(-43+726j),(178+743j),(395+700j),(596+601j),(750+427j),(850+201j),(877-35j),(830-278j),(699-499j),(528-654j),(273-737j),(-24-674j),(-248-380j),(17+313j),(426-193j),(371-544j),(161-724j),(-72-766j),(-287-708j),(-287-708j),(-601-451j),(-673-268j),(-695-90j),(-663+71j),(-594+214j),(-463+340j),(-341+421j),(-208+455j),(-84+450j),(25+417j),(118+354j),(189+307j),(259+236j),(298+156j),(314+68j),(320-38j),(286-139j),(220-244j),(96-327j),(-77-337j),(-210-299j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351482.967152,(-399+172j),(263-396j),(-29-15j),(63-288j),(-456+34j),(-426+160j),(-369+270j),(-199+426j),(-5+473j),(170+443j),(316+369j),(413+261j),(494+136j),(536+5j),(530-113j),(508-230j),(480-370j),(411-487j),(333-602j),(214-687j),(65-760j),(-107-791j),(-281-798j),(-443-727j),(-589-658j),(-707-526j),(-798-369j),(-846-201j),(-842+12j),(-771+194j),(-578+374j),(-221+398j),(17+313j),(-329-342j),(-633-244j),(-761-41j),(-770+178j),(-731+328j),(-635+469j),(-524+579j),(-391+642j),(-234+686j),(-107+688j),(12+655j),(117+593j),(215+521j),(289+435j),(338+334j),(369+245j),(357+156j),(367+81j),(351+10j),(326-58j),(300-121j),(262-181j),(206-243j),(120-296j),-321j,(-146-293j),(-197-255j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351483.070815,(-399+172j),(263-396j),(-29-15j),(63-288j),(-474+84j),(-391+257j),(-258+383j),(-4+468j),(231+425j),(394+268j),(489+93j),(484-94j),(427-276j),(327-413j),(184-518j),(25-575j),(-156-586j),(-331-538j),(-520-464j),(-667-322j),(-767-112j),(-802+121j),(-760+357j),(-647+579j),(-474+750j),(-246+859j),(6+897j),(262+845j),(492+699j),(646+484j),(683+157j),(428-150j),(17+313j),(95+460j),(467+522j),(687+322j),(786+75j),(778-156j),(696-375j),(561-538j),(378-657j),(170-690j),(-19-692j),(-181-616j),(-315-511j),(-412-385j),(-454-230j),(-461-96j),(-425+33j),(-372+135j),(-303+204j),(-214+266j),(-132+300j),(-39+315j),(62+307j),(159+266j),(255+192j),(312+58j),(306-101j),(266-202j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351483.173166,(-399+172j),(263-396j),(-29-15j),(63-288j),(98-423j),(-104-424j),(-283-352j),(-433-157j),(-469+57j),(-402+250j),(-280+390j),(-134+466j),(26+503j),(184+486j),(325+433j),(448+340j),(560+216j),(634+70j),(678-95j),(674-279j),(606-467j),(485-643j),(325-781j),(112-861j),(-91-891j),(-309-833j),(-508-742j),(-668-570j),(-784-336j),(-797-89j),(-668+184j),(-317+329j),(17+313j),(-260-393j),(-601-320j),(-756-95j),(-775+155j),(-725+345j),(-605+512j),(-449+640j),(-283+702j),(-92+709j),(84+687j),(224+610j),(327+510j),(407+389j),(450+262j),(458+130j),(434+13j),(389-73j),(339-150j),(274-219j),(200-266j),(119-299j),(41-316j),(-68-310j),(-181-268j),(-276-170j),(-326-21j),(-300+118j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
d83add07f794,1716351483.275510,(-399+172j),(263-396j),(-29-15j),(63-288j),(72+454j),(231+386j),(352+268j),(458+31j),(410-200j),(266-373j),(96-460j),(-87-471j),(-265-427j),(-412-320j),(-513-186j),(-551-6j),(-570+175j),(-526+366j),(-420+550j),(-253+685j),(-253+685j),(197+792j),(442+742j),(660+583j),(814+363j),(878+118j),(882-147j),(782-401j),(608-613j),(333-731j),(2-701j),(-243-401j),(17+313j),(436-202j),(373-573j),(130-751j),(-128-785j),(-367-706j),(-557-556j),(-678-372j),(-734-164j),(-726+35j),(-665+224j),(-546+371j),(-377+473j),(-222+526j),(-53+519j),(74+479j),(191+401j),(267+286j),(318+206j),(346+104j),(340-2j),(311-100j),(255-189j),(170-261j),(51-318j),(-98-321j),(-251-232j),(-313-151j),(10277+0j),(-12800-32640j),(128+0j),(118+17j)
