mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1716351357.728465,(-399+172j),(263-396j),(-29-15j),(63-288j),(-320+7j),(-299+117j),(-246+218j),(-103+326j),(64+357j),(219+302j),(346+204j),(407+77j),(427-83j),(397-239j),(318-378j),(185-492j),(19-566j),(-171-574j),(-367-542j),(-544-438j),(-686-261j),(-774-42j),(-779+198j),(-700+439j),(-566+643j),(-350+784j),(-117+860j),(157+833j),(407+706j),(591+500j),(650+180j),(419-128j),(17+313j),(82+440j),(82+440j),(665+289j),(735+37j),(726-189j),(621-391j),(469-538j),(300-620j),(96-626j),(-75-610j),(-217-529j),(-333-423j),(-403-303j),(-432-160j),(-423-38j),(-379+71j),(-334+157j),(-260+225j),(-181+285j),(-90+319j),(15+329j),(133+309j),(244+234j),(334+111j),(357-65j),(262-247j),(166-319j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351357.830287,(-399+172j),(263-396j),(-29-15j),(63-288j),(181-226j),(128-282j),(57-324j),(-96-333j),(-230-275j),(-323-180j),(-385-73j),(-408+44j),(-420+175j),(-374+296j),(-311+401j),(-211+485j),(-97+570j),(48+613j),(198+640j),(355+608j),(511+544j),(653+446j),(772+309j),(838+134j),(859-58j),(831-239j),(757-411j),(627-565j),(473-685j),(250-731j),(-16-666j),(-211-397j),(17+313j),(439-99j),(487-420j),(361-614j),(203-713j),(27-733j),(-133-711j),(-261-659j),(-370-568j),(-451-468j),(-513-359j),(-533-250j),(-524-121j),(-496-21j),(-457+69j),(-418+136j),(-352+199j),(-277+237j),(-233+279j),(-161+308j),(-95+334j),(-4+335j),(82+323j),(181+289j),(282+214j),(358+83j),(362-95j),(318-175j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351357.933272,(-399+172j),(263-396j),(-29-15j),(63-288j),(-308+19j),(-262+155j),(-166+261j),(-20+333j),(136+326j),(267+253j),(362+148j),(413+27j),(424-113j),(391-261j),(319-381j),(198-488j),(63-571j),(-106-602j),(-295-600j),(-468-528j),(-625-398j),(-743-243j),(-818-45j),(-812+192j),(-760+414j),(-629+589j),(-455+746j),(-236+822j),(-5+825j),(252+737j),(438+507j),(414+146j),(17+313j),(-226+387j),(-3+646j),(260+672j),(464+576j),(610+433j),(696+248j),(709+73j),(694-95j),(611-228j),(521-352j),(401-433j),(263-490j),(130-506j),(4-484j),(-82-445j),(-172-373j),(-250-294j),(-290-227j),(-330-141j),(-352-48j),(-346+56j),(-310+163j),(-228+259j),(-118+342j),(49+363j),(230+293j),(328+180j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.035092,(-399+172j),(263-396j),(-29-15j),(63-288j),(291+75j),(291-17j),(270-108j),(222-222j),(131-314j),(25-357j),(-84-375j),(-183-356j),(-290-317j),(-381-257j),(-461-177j),(-515-79j),(-553+26j),(-580+149j),(-591+282j),(-561+416j),(-496+552j),(-397+656j),(-279+754j),(-134+804j),(20+848j),(174+840j),(323+794j),(464+705j),(568+571j),(647+404j),(641+172j),(422-85j),(17+313j),(-62+436j),(188+609j),(387+594j),(524+494j),(524+494j),(673+268j),(694+147j),(689+43j),(640-69j),(599-158j),(533-231j),(467-296j),(393-347j),(308-379j),(229-380j),(154-385j),(83-379j),(27-373j),(-41-359j),(-108-336j),(-175-303j),(-245-266j),(-305-183j),(-359-80j),(-365+61j),(-307+215j),(-239+293j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.138189,(-399+172j),(263-396j),(263-396j),(63-288j),(173+194j),(255+87j),(286-42j),(254-180j),(162-280j),(46-341j),(-83-356j),(-208-333j),(-331-272j),(-428-165j),(-486-39j),(-495+101j),(-498+263j),(-431+411j),(-338+553j),(-195+654j),(-24+721j),(178+751j),(378+717j),(560+610j),(695+460j),(791+279j),(832+82j),(804-147j),(728-363j),(543-516j),(272-584j),(-34-435j),(17+313j),(437+58j),(574-229j),(521-457j),(385-626j),(211-689j),(34-708j),(-125-694j),(-269-624j),(-394-525j),(-489-410j),(-532-275j),(-534-134j),(-525-17j),(-476+94j),(-425+187j),(-340+259j),(-251+303j),(-176+350j),(-81+365j),(13+369j),(120+342j),(213+294j),(305+201j),(371+70j),(370-104j),(277-280j),(138-362j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.240445,(-399+172j),(263-396j),(-29-15j),(63-288j),(77+271j),(191+200j),(265+93j),(293-45j),(262-171j),(174-277j),(71-346j),(-57-375j),(-186-363j),(-308-311j),(-417-213j),(-479-93j),(-533+61j),(-534+224j),(-489+381j),(-398+527j),(-265+651j),(-78+742j),(122+776j),(337+733j),(510+632j),(674+492j),(762+301j),(808+81j),(789-157j),(647-361j),(405-505j),(62-425j),(17+313j),(413+144j),(609-105j),(589-351j),(476-545j),(320-639j),(146-688j),(-25-701j),(-179-647j),(-325-564j),(-431-458j),(-493-331j),(-511-192j),(-509-66j),(-487+50j),(-429+153j),(-357+236j),(-274+285j),(-190+343j),(-99+362j),(-1+376j),(111+354j),(213+307j),(316+212j),(385+65j),(388-117j),(281-303j),(139-388j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.342757,(-399+172j),(263-396j),(-29-15j),(63-288j),(-201+125j),(-168+163j),(-130+199j),(-36+256j),(57+271j),(157+255j),(242+211j),(312+139j),(373+53j),(399-46j),(407-145j),(384-243j),(341-360j),(278-463j),(201-551j),(86-611j),(-49-661j),(-202-668j),(-359-650j),(-496-577j),(-600-487j),(-698-362j),(-749-217j),(-768-52j),(-747+133j),(-641+282j),(-449+413j),(-137+381j),(17+313j),(-326-257j),(-572-136j),(-656+50j),(-643+227j),(-589+346j),(-502+443j),(-412+522j),(-305+557j),(-183+586j),(-78+590j),(19+564j),(102+510j),(175+459j),(237+396j),(286+327j),(319+261j),(334+180j),(350+117j),(359+50j),(360-26j),(341-104j),(310-187j),(240-279j),(139-355j),(-21-393j),(-208-344j),(-292-276j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.444569,(-399+172j),(263-396j),(-29-15j),(63-288j),(106+193j),(157+192j),(223+173j),(292+74j),(342-59j),(313-174j),(281-294j),(203-383j),(93-453j),(-35-504j),(-173-518j),(-331-494j),(-477-432j),(-606-338j),(-750-200j),(-833-25j),(-860+173j),(-846+381j),(-775+583j),(-639+785j),(-466+928j),(-250+1021j),(-27+1064j),(205+1022j),(436+906j),(636+714j),(729+393j),(537+7j),(17+313j),(-156+520j),(144+795j),(435+755j),(639+634j),(767+480j),(844+313j),(860+123j),(852-34j),(774-184j),(709-315j),(590-414j),(471-493j),(354-544j),(223-550j),(121-541j),(11-504j),(-85-477j),(-153-431j),(-233-387j),(-314-324j),(-382-238j),(-444-127j),(-480+19j),(-448+204j),(-335+374j),(-119+502j),(21+502j),(10277+0j),(-13312-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.547957,(-399+172j),(263-396j),(-29-15j),(63-288j),(-223+57j),(-161+150j),(-68+209j),(38+233j),(158+212j),(245+141j),(310+48j),(327-51j),(312-174j),(268-281j),(185-376j),(63-448j),(-69-479j),(-220-478j),(-383-441j),(-519-341j),(-625-205j),(-692-32j),(-699+159j),(-663+359j),(-553+538j),(-391+663j),(-216+753j),(-1+769j),(216+712j),(407+569j),(516+324j),(392+15j),(17+313j),(-92+386j),(172+562j),(394+501j),(543+370j),(626+209j),(652+45j),(625-112j),(574-251j),(463-344j),(363-439j),(241-469j),(107-496j),(-4-476j),(-105-425j),(-176-367j),(-241-296j),(-295-214j),(-317-144j),(-333-60j),(-342+32j),(-312+131j),(-266+237j),(-169+324j),(-14+375j),(157+357j),(325+225j),(387+85j),(10277+0j),(-13312-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.650357,(-399+172j),(263-396j),(-29-15j),(63-288j),(196+121j),(222+8j),(202-100j),(142-196j),(44-254j),(-60-269j),(-162-255j),(-259-200j),(-343-120j),(-387-13j),(-408+112j),(-370+240j),(-322+364j),(-228+477j),(-92+563j),(58+605j),(230+600j),(409+558j),(565+456j),(687+302j),(746+107j),(758-83j),(713-277j),(605-462j),(454-597j),(222-651j),(-37-596j),(-216-339j),(17+313j),(379-150j),(359-460j),(188-610j),(9-681j),(-175-641j),(-327-574j),(-440-476j),(-531-353j),(-579-216j),(-598-78j),(-564+55j),(-490+179j),(-422+270j),(-317+334j),(-231+371j),(-120+392j),(-17+376j),(56+364j),(149+334j),(230+282j),(298+200j),(348+90j),(374-40j),(334-198j),(218-334j),(13-405j),(-145-376j),(10277+0j),(-13312-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.752837,(-399+172j),(263-396j),(-29-15j),(63-288j),(-115-237j),(-218-132j),(-258+5j),(-225+165j),(-122+269j),(30+315j),(182+283j),(305+179j),(385+31j),(393-132j),(333-296j),(205-414j),(35-505j),(-173-517j),(-367-454j),(-542-311j),(-655-94j),(-683+165j),(-617+427j),(-430+628j),(-196+742j),(95+768j),(351+699j),(585+505j),(725+239j),(701-60j),(520-326j),(146-387j),(17+313j),(404+134j),(567-164j),(486-458j),(271-644j),(33-690j),(-219-645j),(-414-527j),(-553-341j),(-620-123j),(-605+94j),(-509+265j),(-365+379j),(-208+454j),(-42+461j),(118+412j),(230+322j),(288+212j),(337+104j),(339-16j),(300-133j),(235-235j),(125-319j),(-27-340j),(-199-298j),(-338-140j),(-366+90j),(-281+259j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.854154,(-399+172j),(263-396j),(-29-15j),(63-288j),(160-207j),(53-247j),(-60-247j),(-187-207j),(-283-123j),(-331+15j),(-325+148j),(-263+267j),(-171+375j),(-41+437j),(99+455j),(244+430j),(397+372j),(514+260j),(623+121j),(667-58j),(662-259j),(599-457j),(466-634j),(281-759j),(80-841j),(-160-832j),(-363-770j),(-554-628j),(-697-414j),(-751-171j),(-656+116j),(-323+295j),(17+313j),(-244-379j),(-573-308j),(-720-82j),(-729+167j),(-668+361j),(-540+518j),(-361+628j),(-200+671j),(-10+663j),(147+621j),(277+537j),(363+422j),(426+301j),(455+169j),(442+53j),(408-57j),(351-141j),(300-208j),(227-269j),(145-316j),(50-338j),(-57-345j),(-183-300j),(-302-214j),(-370-49j),(-353+155j),(-271+277j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351358.957552,(-399+172j),(263-396j),(-29-15j),(63-288j),(80+229j),(182+149j),(237+29j),(235-113j),(153-230j),(23-297j),(-124-295j),(-261-220j),(-362-94j),(-396+66j),(-361+223j),(-257+366j),(-110+483j),(85+522j),(287+496j),(475+383j),(621+195j),(688-62j),(665-326j),(513-553j),(306-719j),(20-789j),(-254-754j),(-512-592j),(-691-338j),(-719-35j),(-563+270j),(-192+376j),(17+313j),(-395-185j),(-603+104j),(-552+418j),(-341+637j),(-84+718j),(177+691j),(401+578j),(550+391j),(629+155j),(620-66j),(528-254j),(528-254j),(215-452j),(45-465j),(-110-414j),(-228-322j),(-286-210j),(-332-96j),(-329+17j),(-296+128j),(-217+227j),(-119+297j),(21+323j),(185+277j),(315+135j),(337-78j),(261-231j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351359.059020,(-399+172j),(263-396j),(-29-15j),(63-288j),(203-91j),(125-182j),(21-230j),(-100-238j),(-217-188j),(-290-95j),(-325+12j),(-324+122j),(-291+238j),(-220+333j),(-127+414j),(8+471j),(149+484j),(292+460j),(451+400j),(577+289j),(671+142j),(725-35j),(720-239j),(652-432j),(542-608j),(364-729j),(190-810j),(-40-818j),(-255-745j),(-458-595j),(-563-334j),(-427-8j),(17+313j),(90-424j),(-194-606j),(-440-552j),(-592-403j),(-689-233j),(-723-49j),(-687+127j),(-632+264j),(-523+374j),(-412+469j),(-270+513j),(-131+529j),(-17+523j),(93+472j),(183+407j),(243+327j),(305+248j),(336+165j),(356+75j),(362-15j),(339-122j),(290-228j),(192-321j),(52-386j),(-125-372j),(-299-262j),(-375-123j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351359.162216,(-399+172j),(263-396j),(-29-15j),(63-288j),(95-155j),(33-216j),(-50-246j),(-178-214j),(-277-128j),(-320-9j),(-332+106j),(-299+211j),(-237+315j),(-141+404j),(-42+452j),(95+474j),(229+468j),(362+424j),(508+358j),(613+241j),(689+89j),(726-68j),(717-247j),(660-429j),(558-587j),(410-699j),(232-792j),(46-822j),(-154-773j),(-350-666j),(-493-441j),(-415-101j),(17+313j),(206-393j),(-10-662j),(-252-673j),(-442-602j),(-587-473j),(-691-316j),(-706-152j),(-715+3j),(-658+140j),(-597+264j),(-499+352j),(-377+432j),(-263+472j),(-143+475j),(-46+454j),(42+416j),(131+372j),(188+323j),(249+262j),(300+190j),(328+101j),(352+10j),(340-109j),(276-229j),(165-323j),(-17-367j),(-121-324j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351359.263651,(-399+172j),(263-396j),(-29-15j),(63-288j),(-244+139j),(-217+204j),(-169+269j),(-41+330j),(92+333j),(218+294j),(319+217j),(391+127j),(438+3j),(455-121j),(439-246j),(383-353j),(314-481j),(209-569j),(85-654j),(-66-692j),(-223-699j),(-409-679j),(-565-604j),(-701-470j),(-784-322j),(-846-153j),(-860+31j),(-806+216j),(-728+406j),(-548+527j),(-301+590j),(10+444j),(17+313j),(-439-118j),(-629+130j),(-618+353j),(-529+536j),(-395+626j),(-245+690j),(-102+712j),(32+687j),(164+649j),(283+587j),(349+495j),(400+373j),(436+279j),(438+173j),(438+87j),(413+4j),(365-74j),(343-133j),(296-198j),(244-246j),(172-286j),(96-324j),(-6-335j),(-129-321j),(-259-246j),(-344-100j),(-350-7j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351359.366560,(-399+172j),(263-396j),(-29-15j),(63-288j),(-26-222j),(-123-227j),(-221-193j),(-301-71j),(-317+56j),(-285+187j),(-219+291j),(-125+357j),(-11+393j),(115+406j),(229+386j),(343+327j),(450+241j),(531+126j),(603-1j),(617-154j),(601-318j),(517-476j),(414-626j),(244-718j),(83-793j),(-117-794j),(-297-747j),(-460-640j),(-602-459j),(-673-258j),(-622-1j),(-352+200j),(17+313j),(-116-398j),(-420-437j),(-605-298j),(-675-106j),(-690+58j),(-651+219j),(-559+366j),(-461+453j),(-325+510j),(-195+552j),(-72+540j),(42+513j),(134+462j),(215+399j),(263+312j),(305+226j),(316+149j),(333+74j),(334+2j),(317-72j),(293-157j),(237-239j),(147-310j),(14-357j),(-143-331j),(-295-225j),(-336-113j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351359.422549,(-399+172j),(263-396j),(-29-15j),(63-288j),(-178+3j),(-162+160j),(3+240j),(260+130j),(299-107j),(50-288j),(-236-261j),(-319-2j),(-209+325j),(61+426j),(326+210j),(447-130j),(240-413j),(-191-477j),(-530-251j),(-552+215j),(-229+624j),(260+642j),(671+210j),(704-351j),(247-681j),(-392-689j),(-744-233j),(-604+398j),(-146+765j),(391+556j),(600-20j),(205-343j),(17+313j),(389-176j),(106-566j),(-473-419j),(-696+46j),(-390+517j),(155+698j),(430+379j),(580-104j),(420-505j),(-34-554j),(-464-315j),(-543+23j),(-288+352j),(43+469j),(287+299j),(372-54j),(289-275j),(-8-311j),(-280-201j),(-360-12j),(-146+279j),(89+368j),(291+179j),(291-197j),(24-397j),(-299-198j),(-366+111j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
d83add07f794,1716351359.423457,(-399+172j),(263-396j),(-29-15j),(63-288j),(251+5j),(239-75j),(204-154j),(102-251j),(-31-281j),(-166-249j),(-265-162j),(-347-59j),(-337+73j),(-315+204j),(-250+318j),(-139+414j),(6+476j),(159+482j),(328+462j),(479+372j),(609+233j),(685+42j),(695-162j),(631-370j),(516-562j),(317-669j),(117-759j),(-113-750j),(-347-642j),(-518-465j),(-578-184j),(-380+105j),(17+313j),(-51-399j),(-368-459j),(-576-304j),(-647-84j),(-653+120j),(-575+303j),(-459+474j),(-296+531j),(-121+557j),(45+544j),(184+487j),(298+397j),(374+294j),(413+163j),(416+53j),(390-58j),(344-157j),(284-224j),(206-286j),(109-335j),(109-335j),(-130-337j),(-250-263j),(-352-123j),(-370+61j),(-278+258j),(-168+336j),(10277+0j),(-13312-32640j),(128+0j),(118+17j)
d83add07f794,1716351359.423654,(-399+172j),(263-396j),(-29-15j),(63-288j),(94-344j),(14-354j),(-74-352j),(-232-308j),(-349-188j),(-412-68j),(-430+69j),(-427+200j),(-401+326j),(-319+440j),(-221+530j),(-90+586j),(47+659j),(201+686j),(370+671j),(535+612j),(685+520j),(831+393j),(942+239j),(995+43j),(997-176j),(945-373j),(859-558j),(708-721j),(533-846j),(264-888j),(-33-802j),(-258-477j),(17+313j),(544-103j),(618-490j),(480-730j),(310-866j),(107-906j),(-77-901j),(-236-842j),(-377-765j),(-475-668j),(-572-553j),(-620-420j),(-630-271j),(-630-147j),(-604-36j),(-561+56j),(-514+146j),(-429+216j),(-388+293j),(-326+346j),(-240+404j),(-133+444j),(-16+468j),(136+462j),(295+389j),(448+251j),(514+10j),(500-122j),(10277+0j),(-13312-32640j),(128+0j),(118+17j)
d83add07f794,1716351359.442817,(-399+172j),(263-396j),(-29-15j),(63-288j),(214-54j),(66-224j),(-176-170j),(-222+137j),(37+311j),(288+143j),(233-184j),(-101-353j),(-365-136j),(-309+214j),(58+372j),(411+178j),(429-229j),(48-490j),(-441-319j),(-578+197j),(-190+594j),(416+463j),(691-128j),(355-659j),(-316-638j),(-726-22j),(-470+612j),(186+711j),(666+164j),(463-498j),(-161-576j),(-366-18j),(17+313j),(-394-129j),(-381+424j),(221+547j),(664+54j),(471-510j),(-111-617j),(-613-144j),(-488+408j),(-46+586j),(397+315j),(458-193j),(142-491j),(-244-385j),(-391+26j),(-181+358j),(127+380j),(286+113j),(210-203j),(-46-330j),(-275-203j),(-218+104j),(9+303j),(304+182j),(300-154j),(-64-311j),(-355-11j),(-151+322j),(10277+0j),(-13056-32640j),(128+0j),(118+17j)
