mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
d83add07f794,1717557286.205636,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-438+422j),(-262+571j),(-49+648j),(272+583j),(500+395j),(601+157j),(625-55j),(570-237j),(487-400j),(358-534j),(221-621j),(51-679j),(-110-700j),(-285-680j),(-469-630j),(-616-523j),(-751-386j),(-852-243j),(-914-53j),(-920+160j),(-879+381j),(-791+573j),(-643+755j),(-447+867j),(-228+932j),(64+911j),(331+724j),(421+316j),(581+369j),(-427+349j),(-292+745j),(-292+745j),(221+902j),(455+820j),(648+684j),(775+523j),(856+323j),(861+142j),(863-50j),(797-224j),(679-397j),(549-517j),(386-594j),(245-635j),(71-633j),(-103-600j),(-240-538j),(-369-439j),(-471-303j),(-524-128j),(-538+65j),(-458+257j),(-311+422j),(-80+501j),(185+453j),(318+322j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557286.305222,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-556-310j),(-617-157j),(-643+7j),(-571+287j),(-400+486j),(-195+598j),(-9+619j),(155+590j),(306+538j),(423+468j),(534+375j),(616+257j),(680+135j),(727+6j),(773-143j),(762-298j),(731-448j),(633-581j),(547-718j),(426-807j),(285-916j),(135-953j),(-44-978j),(-248-940j),(-410-830j),(-589-673j),(-682-407j),(-518-41j),(581+369j),(201-497j),(-53-786j),(-316-828j),(-512-731j),(-675-622j),(-790-485j),(-846-332j),(-873-178j),(-845-8j),(-816+135j),(-742+263j),(-660+395j),(-558+488j),(-436+559j),(-293+579j),(-157+600j),(-26+584j),(97+556j),(217+505j),(324+428j),(431+308j),(499+169j),(513-9j),(467-207j),(324-374j),(104-469j),(-17-485j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557286.408951,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-630-126j),(-639+117j),(-573+337j),(-324+569j),(-35+628j),(219+575j),(395+470j),(535+324j),(622+154j),(649-24j),(627-197j),(558-354j),(489-514j),(358-645j),(212-739j),(34-795j),(-148-814j),(-358-803j),(-545-731j),(-709-602j),(-828-431j),(-923-234j),(-952-20j),(-924+208j),(-847+440j),(-635+616j),(-321+707j),(43+526j),(581+369j),(-538-78j),(-728+273j),(-646+567j),(-485+779j),(-268+861j),(-50+901j),(154+886j),(340+801j),(509+695j),(631+554j),(710+388j),(726+186j),(723+19j),(668-146j),(593-291j),(472-408j),(319-478j),(192-545j),(27-559j),(-145-529j),(-293-439j),(-417-301j),(-495-116j),(-486+102j),(-389+320j),(-154+461j),(37+458j),(10277+0j),(-11264-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557286.509891,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(570-311j),(416-507j),(217-634j),(-131-649j),(-407-510j),(-563-295j),(-628-78j),(-611+113j),(-568+291j),(-467+442j),(-347+557j),(-184+646j),(-37+707j),(138+718j),(334+696j),(498+621j),(654+516j),(780+392j),(882+221j),(925+16j),(924-217j),(866-420j),(752-616j),(577-766j),(371-878j),(76-886j),(-215-752j),(-364-372j),(581+369j),(463-281j),(378-687j),(131-865j),(-118-902j),(-357-847j),(-554-730j),(-691-576j),(-794-397j),(-823-219j),(-823-219j),(-794+155j),(-687+334j),(-566+463j),(-420+555j),(-276+607j),(-108+619j),(70+589j),(206+540j),(342+451j),(445+322j),(511+144j),(522-48j),(457-235j),(313-402j),(97-479j),(-169-444j),(-314-316j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557286.612369,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-438-608j),(-610-380j),(-687-121j),(-643+253j),(-422+512j),(-152+630j),(97+643j),(299+563j),(483+453j),(601+289j),(674+93j),(675-97j),(657-303j),(580-486j),(453-643j),(275-763j),(73-837j),(-162-880j),(-387-848j),(-604-733j),(-770-558j),(-898-348j),(-963-123j),(-947+154j),(-875+415j),(-632+629j),(-297+724j),(74+521j),(581+369j),(-543-10j),(-672+385j),(-536+677j),(-310+864j),(-52+902j),(188+877j),(415+794j),(579+653j),(717+478j),(796+276j),(803+60j),(735-150j),(639-315j),(507-452j),(361-551j),(176-600j),(-14-575j),(-170-550j),(-320-454j),(-435-321j),(-504-135j),(-507+63j),(-429+254j),(-266+415j),(-31+487j),(237+417j),(402+315j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557286.715742,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(171+712j),(433+562j),(611+342j),(689-17j),(593-315j),(397-525j),(174-636j),(-59-657j),(-267-612j),(-442-514j),(-578-380j),(-666-215j),(-741-24j),(-742+177j),(-721+357j),(-630+537j),(-505+694j),(-328+850j),(-118+932j),(117+961j),(330+916j),(550+820j),(731+672j),(867+458j),(964+180j),(908-102j),(699-369j),(274-456j),(581+369j),(410+372j),(763+180j),(873-118j),(841-408j),(702-605j),(523-771j),(306-854j),(97-890j),(-129-865j),(-335-791j),(-490-663j),(-592-492j),(-661-318j),(-681-136j),(-673+43j),(-597+209j),(-485+339j),(-361+453j),(-198+522j),(-30+548j),(153+505j),(311+415j),(434+255j),(496+43j),(444-207j),(257-396j),(54-493j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557286.817490,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(430-495j),(290-604j),(132-673j),(-199-647j),(-431-491j),(-565-284j),(-629-91j),(-632+92j),(-610+266j),(-610+266j),(-430+531j),(-302+610j),(-169+713j),(-17+756j),(126+778j),(283+764j),(440+726j),(618+666j),(756+562j),(869+411j),(927+256j),(980+66j),(977-115j),(923-310j),(838-520j),(621-663j),(322-723j),(-32-539j),(581+369j),(540+137j),(785-171j),(761-449j),(669-684j),(502-791j),(324-883j),(136-922j),(-34-912j),(-207-876j),(-370-809j),(-492-694j),(-578-531j),(-644-397j),(-674-235j),(-690-101j),(-651+56j),(-573+192j),(-519+316j),(-405+417j),(-280+493j),(-116+530j),(51+516j),(230+457j),(377+329j),(480+131j),(468-118j),(410-214j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557286.920966,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-413-440j),(-545-320j),(-636-168j),(-633+149j),(-514+399j),(-325+552j),(-123+625j),(58+620j),(218+590j),(372+524j),(492+434j),(596+326j),(669+191j),(723+46j),(783-104j),(772-268j),(736-435j),(649-573j),(548-719j),(403-833j),(255-934j),(71-974j),(-123-978j),(-317-924j),(-505-794j),(-675-608j),(-736-309j),(-515+39j),(581+369j),(116-526j),(-197-776j),(-482-747j),(-675-609j),(-813-459j),(-897-278j),(-914-90j),(-909+82j),(-828+250j),(-751+399j),(-624+517j),(-489+612j),(-342+669j),(-189+690j),(-33+662j),(110+616j),(239+546j),(341+461j),(431+344j),(492+213j),(515+54j),(507-105j),(424-268j),(282-405j),(72-463j),(-164-422j),(-248-341j),(10277+0j),(-11008-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557287.023389,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-619+50j),(-576+285j),(-454+490j),(-102+647j),(223+602j),(467+410j),(602+190j),(624-62j),(557-290j),(437-469j),(260-602j),(78-667j),(-162-676j),(-374-622j),(-568-531j),(-729-352j),(-833-131j),(-865+151j),(-802+403j),(-675+641j),(-490+813j),(-231+930j),(51+969j),(351+898j),(615+712j),(770+440j),(775+65j),(449-250j),(581+369j),(220+482j),(641+442j),(843+154j),(880-178j),(790-430j),(622-661j),(396-795j),(150-861j),(-126-832j),(-352-745j),(-524-589j),(-637-395j),(-700-180j),(-683+40j),(-598+242j),(-451+392j),(-294+490j),(-109+535j),(83+531j),(258+443j),(401+308j),(475+122j),(476-97j),(367-302j),(141-440j),(-134-421j),(-255-325j),(10277+0j),(-11264-32640j),(128+0j),(-539-5242j)
d83add07f794,1717557287.125647,(8135+6162j),(-3020+4090j),(2073-6139j),(-7167-6j),(-308-629j),(-504-450j),(-618-223j),(-645+132j),(-475+402j),(-251+565j),(-22+610j),(192+590j),(399+497j),(537+359j),(638+190j),(649+2j),(674-199j),(617-394j),(518-563j),(369-705j),(179-814j),(-47-859j),(-273-870j),(-485-769j),(-678-634j),(-815-432j),(-906-220j),(-928+39j),(-858+300j),(-677+528j),(-370+647j),(18+510j),(581+369j),(-520-67j),(-673+288j),(-589+586j),(-392+779j),(-161+859j),(83+860j),(304+797j),(483+687j),(636+532j),(727+338j),(763+140j),(718-66j),(648-241j),(540-386j),(390-484j),(224-556j),(51-532j),(-109-537j),(-263-456j),(-378-337j),(-455-178j),(-470+11j),(-412+193j),(-280+352j),(-73+444j),(177+403j),(336+326j),(10277+0j),(-11264-32640j),(128+0j),(-539-5242j)
